NAME,BOYS 2012 RANK,GIRLS 2012 RANK,BOYS 2022 RANK,GIRLS 2022 RANK
Aaden,916,N/A,N/A,N/A
Aadhya,N/A,N/A,N/A,981
Aaliyah,N/A,36,N/A,69
Aarav,584,N/A,667,N/A
Aaron,51,N/A,71,N/A
Abbie,N/A,790,N/A,N/A
Abbigail,N/A,621,N/A,N/A
Abby,N/A,308,N/A,586
Abdiel,847,N/A,788,N/A
Abdullah,747,N/A,789,N/A
Abel,192,N/A,215,N/A
Abigail,N/A,7,N/A,24
Abraham,194,N/A,204,N/A
Abram,392,N/A,638,N/A
Abrielle,N/A,887,N/A,N/A
Abril,N/A,773,N/A,N/A
Ace,524,N/A,153,N/A
Ada,N/A,487,N/A,181
Adalee,N/A,N/A,N/A,673
Adaline,N/A,N/A,N/A,245
Adalyn,N/A,198,N/A,180
Adalynn,N/A,240,N/A,132
Adam,82,N/A,97,N/A
Adan,353,N/A,434,N/A
Addilyn,N/A,696,N/A,573
Addilynn,N/A,N/A,N/A,944
Addison,N/A,14,N/A,54
Addisyn,N/A,373,N/A,N/A
Addyson,N/A,256,N/A,N/A
Adelaide,N/A,343,N/A,283
Adele,N/A,536,N/A,819
Adelina,N/A,702,N/A,401
Adeline,N/A,239,N/A,92
Adelyn,N/A,236,N/A,287
Adelynn,N/A,465,N/A,349
Aden,299,N/A,819,N/A
Aditya,965,N/A,N/A,N/A
Adler,N/A,N/A,973,N/A
Adley,N/A,731,N/A,649
Adonis,636,N/A,224,N/A
Adrian,60,N/A,63,N/A
Adriana,N/A,149,N/A,329
Adrianna,N/A,207,N/A,718
Adriel,452,N/A,138,N/A
Adrien,700,N/A,N/A,N/A
Adrienne,N/A,715,N/A,N/A
Agustin,934,N/A,929,N/A
Ahmad,573,N/A,634,N/A
Ahmed,494,N/A,663,N/A
Ahmir,N/A,N/A,870,N/A
Aidan,115,N/A,296,N/A
Aiden,10,N/A,29,N/A
Aidyn,796,N/A,N/A,N/A
Aila,N/A,N/A,N/A,795
Ailani,N/A,N/A,N/A,464
Aileen,N/A,503,N/A,721
Aimee,N/A,844,N/A,N/A
Ainhoa,N/A,N/A,N/A,991
Ainsley,N/A,339,N/A,506
Aisha,N/A,577,N/A,461
Aitana,N/A,N/A,N/A,325
Aiyana,N/A,671,N/A,N/A
Akira,N/A,958,N/A,N/A
Alaia,N/A,N/A,N/A,138
Alaina,N/A,161,N/A,202
Alaiya,N/A,N/A,N/A,964
Alan,170,N/A,189,N/A
Alana,N/A,173,N/A,203
Alani,N/A,586,N/A,173
Alanna,N/A,488,N/A,568
Alannah,N/A,850,N/A,N/A
Alaric,N/A,N/A,915,N/A
Alaya,N/A,813,N/A,394
Alayah,N/A,662,N/A,366
Alayna,N/A,202,N/A,273
Alaysia,N/A,946,N/A,N/A
Albert,401,N/A,614,N/A
Alberto,446,N/A,701,N/A
Alden,774,N/A,627,N/A
Aldo,534,N/A,939,N/A
Aleah,N/A,421,N/A,670
Alec,448,N/A,739,N/A
Aleena,N/A,517,N/A,651
Aleigha,N/A,858,N/A,N/A
Alejandra,N/A,392,N/A,567
Alejandro,148,N/A,193,N/A
Alena,N/A,740,N/A,748
Alessandra,N/A,347,N/A,382
Alessandro,687,N/A,540,N/A
Alessia,N/A,N/A,N/A,354
Alex,98,N/A,190,N/A
Alexa,N/A,57,N/A,536
Alexander,9,N/A,17,N/A
Alexandra,N/A,76,N/A,189
Alexandria,N/A,205,N/A,410
Alexia,N/A,252,N/A,826
Alexis,227,40,460,361
Alexzander,717,N/A,N/A,N/A
Alfonso,793,N/A,918,N/A
Alfred,949,N/A,848,N/A
Alfredo,492,N/A,704,N/A
Ali,352,865,299,N/A
Alia,N/A,763,N/A,587
Aliana,N/A,672,N/A,647
Alianna,N/A,N/A,N/A,951
Alice,N/A,127,N/A,64
Alicia,N/A,272,N/A,412
Alijah,454,N/A,469,N/A
Alina,N/A,269,N/A,133
Alisa,N/A,967,N/A,N/A
Alisha,N/A,866,N/A,N/A
Alison,N/A,273,N/A,455
Alissa,N/A,676,N/A,N/A
Alisson,N/A,845,N/A,760
Alistair,N/A,N/A,928,N/A
Alivia,N/A,188,N/A,319
Aliya,N/A,597,N/A,844
Aliyah,N/A,140,N/A,232
Aliza,N/A,877,N/A,752
Allan,696,N/A,820,N/A
Allen,327,N/A,562,N/A
Allie,N/A,200,N/A,472
Allison,N/A,38,N/A,101
Ally,N/A,584,N/A,N/A
Allyson,N/A,255,N/A,847
Alma,N/A,851,N/A,482
Alondra,N/A,281,N/A,509
Alonso,736,N/A,750,N/A
Alonzo,567,N/A,470,N/A
Alora,N/A,N/A,N/A,266
Alvaro,901,N/A,794,N/A
Alvin,522,N/A,737,N/A
Alyson,N/A,540,N/A,N/A
Alyssa,N/A,44,N/A,288
Alyvia,N/A,859,N/A,N/A
Amaia,N/A,N/A,N/A,626
Amalia,N/A,N/A,N/A,580
